Grupo;Categoria;Reino;Tipo;Opção;Chave (não alterar);Pontos;Benefício;Malefício;Efeito mecânico (opcional);Observações
Pessoal;Coragem;;Vantagem;Corajoso;pessoal.coragem.corajoso;-2;;;;
Pessoal;Mentalidade;;Desvantagem;Compulsivo;pessoal.mentalidade.compulsivo;+2;;;;
Pessoal;Mentalidade;;Vantagem;Contido;pessoal.mentalidade.contido;-2;;;;
Pessoal;Conduta;;Desvantagem;Desonrado;pessoal.conduta.desonrado;+2;;;;
Pessoal;Conduta;;Vantagem;Honrado;pessoal.conduta.honrado;-2;;;;
Pessoal;Humor;;Desvantagem;Ranzinza;pessoal.humor.ranzinza;+2;;;;
Pessoal;Humor;;Vantagem;Contagiante;pessoal.humor.contagiante;-2;;;;
Pessoal;Temperamento;;Desvantagem;Esquentado;pessoal.temperamento.esquentado;+2;;;;
Pessoal;Temperamento;;Vantagem;Bonzinho;pessoal.temperamento.bonzinho;-2;;;;
Histórica;;Abadom;Histórica;Dragonista;historica.Dragonista;0;;;;
Histórica;;Abadom;Histórica;Escambista;historica.Escambista;0;;;;
Histórica;;Abadom;Histórica;Sobrevivente;historica.Sobrevivente;0;;;;
Histórica;;Acordo;Histórica;Carrancudo;historica.Carrancudo;0;;;;
Histórica;;Acordo;Histórica;Minerador;historica.Minerador;0;;;;
Histórica;;Acordo;Histórica;Comerciante;historica.Comerciante;0;;;;
Histórica;;Âmien;Histórica;Prestigiado;historica.Prestigiado;0;;;;
Histórica;;Âmien;Histórica;Abençoado;historica.Abençoado;0;;;;
Histórica;;Âmien;Histórica;Sábio;historica.Sábio;0;;;;
Histórica;;Azanti;Histórica;Inconformado;historica.Inconformado;0;;;;
Histórica;;Azanti;Histórica;Armamentista;historica.Armamentista;0;;;;
Histórica;;Azanti;Histórica;Preconceituoso;historica.Preconceituoso;0;;;;
Histórica;;Calco;Histórica;Letrado;historica.Letrado;0;;;;
Histórica;;Calco;Histórica;Multicultural;historica.Multicultural;0;;;;
Histórica;;Calco;Histórica;Teórico;historica.Teórico;0;;;;
Histórica;;Cidades-Estado;Histórica;Carpinteiro;historica.Carpinteiro;0;;;;
Histórica;;Cidades-Estado;Histórica;Abastado;historica.Abastado;0;;;;
Histórica;;Cidades-Estado;Histórica;Revoltado;historica.Revoltado;0;;;;
Histórica;;Conti;Histórica;Malandro;historica.Malandro;0;;;;
Histórica;;Conti;Histórica;Mesquinho;historica.Mesquinho;0;;;;
Histórica;;Conti;Histórica;Mateiro;historica.Mateiro;0;;;;
Histórica;;Dantsen;Histórica;Cavalariço;historica.Cavalariço;0;;;;
Histórica;;Dantsen;Histórica;Desapropriado;historica.Desapropriado;0;;;;
Histórica;;Dantsen;Histórica;Adestrador;historica.Adestrador;0;;;;
Histórica;;Eredra;Histórica;Rebelde;historica.Rebelde;0;;;;
Histórica;;Eredra;Histórica;Supersticioso;historica.Supersticioso;0;;;;
Histórica;;Eredra;Histórica;Religioso;historica.Religioso;0;;;;
Histórica;;Filanti;Histórica;Formal;historica.Formal;0;;;;
Histórica;;Filanti;Histórica;Desconfiado;historica.Desconfiado;0;;;;
Histórica;;Filanti;Histórica;Mitomaníaco;historica.Mitomaníaco;0;;;;
Histórica;;Levânia;Histórica;Artesão;historica.Artesão;0;;;;
Histórica;;Levânia;Histórica;Justo;historica.Justo;0;;;;
Histórica;;Levânia;Histórica;Demonista;historica.Demonista;0;;;;
Histórica;;Ludgrim;Histórica;Bilíngue;historica.Bilíngue;0;;;;
Histórica;;Ludgrim;Histórica;Tolerante;historica.Tolerante;0;;;;
Histórica;;Ludgrim;Histórica;Alerta;historica.Alerta;0;;;;
Histórica;;Luna;Histórica;Artista;historica.Artista;0;;;;
Histórica;;Luna;Histórica;Medroso;historica.Medroso;0;;;;
Histórica;;Luna;Histórica;Doente;historica.Doente;0;;;;
Histórica;;Marana;Histórica;Retórico;historica.Retórico;0;;;;
Histórica;;Marana;Histórica;Cozinheiro;historica.Cozinheiro;0;;;;
Histórica;;Marana;Histórica;Refinado;historica.Refinado;0;;;;
Histórica;;Plana;Histórica;Negociador;historica.Negociador;0;;;;
Histórica;;Plana;Histórica;Trapaceiro;historica.Trapaceiro;0;;;;
Histórica;;Plana;Histórica;Pacifista;historica.Pacifista;0;;;;
Histórica;;Portis;Histórica;Magista;historica.Magista;0;;;;
Histórica;;Portis;Histórica;Historiador;historica.Historiador;0;;;;
Histórica;;Portis;Histórica;Xenófobo;historica.Xenófobo;0;;;;
Histórica;;Porto Livre;Histórica;Boêmio;historica.Boêmio;0;;;;
Histórica;;Porto Livre;Histórica;Procurado;historica.Procurado;0;;;;
Histórica;;Porto Livre;Histórica;Praiano;historica.Praiano;0;;;;
Histórica;;Verrogar;Histórica;Belicoso;historica.Belicoso;0;;;;
Histórica;;Verrogar;Histórica;Treinado;historica.Treinado;0;;;;
Histórica;;Verrogar;Histórica;Soldado;historica.Soldado;0;;;;
